,carrier_name,month,arr_flights,arr_cancelled,arr_diverted,percent_cancelled,percent_diverted
183,Spirit Air Lines,12,17299.0,98.0,25.0,0.57,0.14
184,Spirit Air Lines,2,13654.0,207.0,11.0,1.52,0.08
185,Spirit Air Lines,3,17154.0,120.0,14.0,0.7,0.08
186,Spirit Air Lines,4,16774.0,458.0,32.0,2.73,0.19
187,Spirit Air Lines,5,18055.0,241.0,52.0,1.33,0.29
188,Spirit Air Lines,6,17874.0,321.0,60.0,1.8,0.34
189,Spirit Air Lines,7,18845.0,417.0,61.0,2.21,0.32
190,Spirit Air Lines,8,18860.0,564.0,32.0,2.99,0.17
191,Spirit Air Lines,9,16759.0,763.0,23.0,4.55,0.14
192,United Air Lines Inc.,1,46915.0,697.0,92.0,1.49,0.2
193,United Air Lines Inc.,10,55074.0,151.0,91.0,0.27,0.17
194,United Air Lines Inc.,11,50180.0,265.0,57.0,0.53,0.11
195,United Air Lines Inc.,12,51291.0,139.0,92.0,0.27,0.18
196,United Air Lines Inc.,2,43722.0,210.0,71.0,0.48,0.16
197,United Air Lines Inc.,3,53651.0,644.0,95.0,1.2,0.18
198,United Air Lines Inc.,4,52292.0,529.0,125.0,1.01,0.24
199,United Air Lines Inc.,5,54360.0,380.0,266.0,0.7,0.49
200,United Air Lines Inc.,6,54075.0,338.0,283.0,0.63,0.52
201,United Air Lines Inc.,7,56106.0,732.0,310.0,1.3,0.55
202,United Air Lines Inc.,8,56223.0,517.0,203.0,0.92,0.36
203,United Air Lines Inc.,9,52021.0,782.0,134.0,1.5,0.26
